name,score
Embarcadero at Sansome,4.60403458353992
Harry Bridges Plaza (Ferry Building),2.7895411764464426
Market at 4th,1.5067325227897794
Powell Street BART,1.411132094217897
Powell at Post (Union Square),1.3810573451598298
Steuart at Market,1.3690475531721102
Grant Avenue at Columbus Avenue,1.3123546037964722
Embarcadero at Vallejo,1.296946950284845
San Francisco Caltrain (Townsend at 4th),1.2437061110647383
2nd at Townsend,1.2125986713240737
Market at 10th,1.1240080821134986
South Van Ness at Market,0.9127988188595035
San Francisco Caltrain 2 (330 Townsend),0.8546002260215616
Market at Sansome,0.8249402746126406
Washington at Kearney,0.7302161460412114
5th at Howard,0.7295205564247583
Yerba Buena Center of the Arts (3rd @ Howard),0.707161278563367
Embarcadero at Bryant,0.6946282859137805
Civic Center BART (7th at Market),0.6862441078039238
Townsend at 7th,0.6475586518659707
Mechanics Plaza (Market at Battery),0.6319620375473062
Post at Kearney,0.6253739196690895
Clay at Battery,0.5799965864335511
Beale at Market,0.5278431744891345
Embarcadero at Folsom,0.5270068104901229
Broadway St at Battery St,0.5184940440669256
2nd at South Park,0.5105461224506701
Golden Gate at Polk,0.5039494177649364
Spear at Folsom,0.48268451180994054
San Francisco City Hall,0.4807214928049633
Howard at 2nd,0.47899554400673827
Commercial at Montgomery,0.4651631600947109
Davis at Jackson,0.44557918738755115
2nd at Folsom,0.43828302527587315
Temporary Transbay Terminal (Howard at Beale),0.38798933773416155