name,communityId,intermediateCommunityIds
Powell Street BART,25,null
5th at Howard,25,null
San Francisco City Hall,25,null
Golden Gate at Polk,25,null
Howard at 2nd,25,null
Townsend at 7th,25,null
South Van Ness at Market,25,null
Market at 10th,25,null
Yerba Buena Center of the Arts (3rd @ Howard),25,null
San Francisco Caltrain 2 (330 Townsend),25,null
Powell at Post (Union Square),25,null
Civic Center BART (7th at Market),25,null
Market at 4th,25,null
Clay at Battery,26,null
Davis at Jackson,26,null
Commercial at Montgomery,26,null
Washington at Kearney,26,null
Post at Kearney,26,null
Embarcadero at Folsom,26,null
Temporary Transbay Terminal (Howard at Beale),26,null
Beale at Market,26,null
San Francisco Caltrain (Townsend at 4th),26,null
Grant Avenue at Columbus Avenue,26,null
Mechanics Plaza (Market at Battery),26,null
Broadway St at Battery St,26,null
Embarcadero at Vallejo,30,null
Spear at Folsom,30,null
Harry Bridges Plaza (Ferry Building),30,null
Embarcadero at Bryant,30,null
Embarcadero at Sansome,30,null
2nd at Townsend,30,null
Steuart at Market,30,null
2nd at Folsom,33,null
2nd at South Park,33,null
Market at Sansome,33,null