station_name,station_usage
San Francisco Caltrain (Townsend at 4th),38849
San Francisco Caltrain 2 (330 Townsend),30757
Harry Bridges Plaza (Ferry Building),23844
Embarcadero at Sansome,21328
Townsend at 7th,19976
2nd at Townsend,19436
Steuart at Market,18949
Temporary Transbay Terminal (Howard at Beale),18198
Market at Sansome,16251
Market at 10th,14518
Powell Street BART,12702
Market at 4th,12526
2nd at South Park,10736
5th at Howard,10684
Civic Center BART (7th at Market),10207
Embarcadero at Folsom,10173
Broadway St at Battery St,9966
Embarcadero at Bryant,9649
Howard at 2nd,9612
Beale at Market,9532
Mechanics Plaza (Market at Battery),8496
2nd at Folsom,8459
Grant Avenue at Columbus Avenue,8420
Commercial at Montgomery,7684
Embarcadero at Vallejo,7665
Yerba Buena Center of the Arts (3rd @ Howard),7426
Davis at Jackson,7359
South Van Ness at Market,7107
Powell at Post (Union Square),7012
Clay at Battery,6873
Spear at Folsom,6837
Post at Kearney,6251
Golden Gate at Polk,4408
Washington at Kearney,4181
San Francisco City Hall,2695